timestamp,btc_open,btc_close,btc_volume,btc_number_of_trades,eth_open,eth_close,eth_volume,eth_number_of_trades,djia_open,djia_close,djia_volume,ixic_open,ixic_close,ixic_volume
1569890000000.0,8292.67,8359.94,26243.38664,261430,175.65,180.24,348268.1162,96660,26962.53906,26573.03906,260110000.0,8026.83008,7908.68018,2243650000.0
1569970000000.0,8360.0,8223.96,30488.28406,281307,180.24,174.69,354756.7848,101114,26425.85938,26078.61914,309640000.0,7851.12988,7785.25,2495160000.0
1570060000000.0,8224.43,8137.13,26476.3304,259012,174.71,175.55,333897.6388,89655,26039.01953,26201.03906,241610000.0,7787.02002,7872.25977,2141490000.0
1570150000000.0,8137.09,8126.19,21907.61556,237769,175.55,176.25,278488.6177,90341,26271.69922,26573.7207,221310000.0,7908.43994,7982.47021,1736890000.0
1570230000000.0,8127.55,7854.25,34676.10405,325795,176.23,170.1,314932.3963,114662,26348.57617,26541.82031,212606666.7,7924.430013,7973.743487,1737743333.0
1570320000000.0,7855.3,8190.09,52202.0723,482605,170.08,179.85,496523.4804,159802,26425.45313,26509.91992,203903333.3,7940.420087,7965.016763,1738596667.0
1570410000000.0,8190.82,8168.39,35452.65742,395685,179.88,180.6,400832.3783,139925,26502.33008,26478.01953,195200000.0,7956.41016,7956.29004,1739450000.0
1570490000000.0,8170.79,8560.74,55038.70438,537805,180.61,192.62,562506.8219,182290,26276.58984,26164.03906,244590000.0,7898.27002,7823.77979,1933580000.0
1570580000000.0,8562.15,8558.03,39137.94617,406932,192.61,191.14,436588.5845,150166,26308.23047,26346.00977,190060000.0,7895.95996,7903.74023,1553900000.0
1570670000000.0,8557.82,8258.5,50405.28442,471818,191.18,180.72,621693.6313,181427,26317.34961,26496.66992,217680000.0,7904.56006,7950.77979,1778740000.0
1570750000000.0,8257.95,8300.09,21339.3341,280633,180.65,179.68,290415.2204,118775,26694.19922,26816.58984,282080000.0,8047.33984,8057.04004,2176080000.0
1570840000000.0,8301.98,8275.01,27840.73995,320051,179.65,180.99,247589.2323,113448,26718.27604,26806.84635,247593333.3,8046.34326,8054.243327,1923963333.0
1570920000000.0,8275.24,8348.2,29810.66325,345679,180.98,186.72,279732.8461,123915,26742.35287,26797.10287,213106666.7,8045.34668,8051.446613,1671846667.0
1571010000000.0,8346.86,8159.29,32773.06248,399447,186.7,180.49,405466.3811,155734,26766.42969,26787.35938,178620000.0,8044.3501,8048.6499,1419730000.0
1571100000000.0,8159.3,7991.74,34733.59397,421026,180.52,174.47,347764.9346,151051,26811.19922,27024.80078,245510000.0,8074.8501,8148.70996,1836650000.0
1571180000000.0,7995.02,8070.58,29656.94916,356490,174.52,177.16,298795.8198,133295,26972.31055,27001.98047,214660000.0,8119.81006,8124.18018,1886720000.0
1571270000000.0,8070.71,7947.01,31353.18142,399783,177.17,172.74,319602.4851,139612,27032.38086,27025.88086,222540000.0,8176.91016,8156.8501,1861570000.0
1571360000000.0,7946.89,7948.01,26627.88939,349746,172.78,171.79,296918.7303,127763,27004.49023,26770.19922,288970000.0,8149.8501,8089.54004,2012930000.0
1571440000000.0,7949.87,8223.35,34286.45265,396091,171.84,175.22,299141.0715,125469,26953.88346,26789.34635,272990000.0,8145.706707,8114.023437,1926240000.0
1571530000000.0,8223.35,8197.27,30448.67954,367169,175.18,173.98,270608.5139,128045,26903.27669,26808.49349,257010000.0,8141.563313,8138.506833,1839550000.0
1571620000000.0,8197.28,8020.0,34651.82866,384699,174.0,171.2,255429.4162,123180,26852.66992,26827.64062,241030000.0,8137.41992,8162.99023,1752860000.0
1571700000000.0,8020.06,7466.62,63897.4571,610241,171.19,162.35,746955.0981,238790,26850.42969,26788.09961,265510000.0,8188.12012,8104.2998,1847200000.0
1571790000000.0,7468.47,7412.41,32714.38327,403778,162.35,160.38,387310.8377,159778,26835.24023,26833.94922,247680000.0,8090.24023,8119.79004,1805030000.0
